City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
349,port saint john's,-31.6229,29.5448,14.9,58,5,2.25,ZA,1690269786
350,walvis bay,-22.9575,14.5053,11.72,100,100,3.6,NA,1690269787
351,sitangkai,4.6628,119.3928,28.41,79,98,8.45,PH,1690269788
352,xiahu,26.6106,119.9483,28.79,79,57,5.87,CN,1690269789
353,kupang,-10.1667,123.5833,28.32,54,20,10.29,ID,1690269789
354,caleta de carquin,-11.0925,-77.6267,19.23,84,41,4.37,PE,1690269790
355,raduzhny,62.0961,77.475,19.32,83,100,3.11,RU,1690269790
356,southend-on-sea,51.5378,0.7143,14.97,86,40,3.13,GB,1690269531
357,perry,37.2506,-83.1999,22.1,97,90,1.72,US,1690269793
358,villa regina,-39.1,-67.0667,7.74,52,100,7.92,AR,1690269793
359,yurga,55.7231,84.8861,27.67,37,99,3.53,RU,1690269794
360,babana,10.4295,3.815,23.36,91,22,2.08,NG,1690269794
361,shirgaon,19.7,72.7,27.66,85,100,7.93,IN,1690269795
362,saint-philippe,-21.3585,55.7679,24.77,79,39,4.39,RE,1690269796
363,kogalym,62.2654,74.4791,18.45,80,100,5.13,RU,1690269796
